feature,feature_importance
right_ankle_angle__fft_coefficient__attr_"real"__coeff_30,0.012967957351144279
right_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.4__ql_0.0,7.067187521610104e-05
right_knee_angle__minimum,0.001278166586671565
left_knee_angle__linear_trend__attr_"stderr",0.00011824526566118082
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_50__f_agg_"var",9.164905401832516e-07
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_52,0.00033195995861443533
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"var",1.015041616128543e-06
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",0.0006197865476288635
right_knee_angle__fft_coefficient__attr_"imag"__coeff_39,7.999215254127509e-05
right_knee_angle__fft_coefficient__attr_"imag"__coeff_72,0.003026482048423911
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"min",0.00010491124682297382
right_knee_angle__fft_coefficient__attr_"real"__coeff_52,0.0002612999009721669
right_ankle_angle__fft_coefficient__attr_"real"__coeff_40,0.00016515250539378697
right_ankle_angle__fft_coefficient__attr_"real"__coeff_79,0.001058446499332328
right_knee_angle__fft_coefficient__attr_"abs"__coeff_3,0.0036866501499249163
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"mean",9.331711926794346e-05
right_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.4__ql_0.0,3.240001471277001e-06
right_knee_angle__fft_coefficient__attr_"real"__coeff_60,0.00030310127610440823
right_ankle_angle__fft_coefficient__attr_"real"__coeff_43,0.000162980579082106
right_knee_angle__fft_coefficient__attr_"imag"__coeff_35,0.001294319720858911
right_knee_angle__fft_coefficient__attr_"imag"__coeff_71,0.0010356874544076948
right_ankle_angle__fft_coefficient__attr_"real"__coeff_75,0.0005377469765095342
right_knee_angle__fft_coefficient__attr_"real"__coeff_66,0.0015837527145017968
right_ankle_angle__fft_coefficient__attr_"real"__coeff_44,0.0016952847805166038
left_hip_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"var",0.00040203591649275584
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.4__ql_0.0,0.0005442769724278909
right_knee_angle__fft_coefficient__attr_"imag"__coeff_44,0.0001600294847077054
right_ankle_angle__fft_coefficient__attr_"real"__coeff_52,0.0005931365040146392
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_35,0.00027187467589923113
right_ankle_angle__fft_coefficient__attr_"real"__coeff_68,0.0022542471272866786
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.4,0.00104597001546713
left_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.2,5.9241643651780296e-06
right_knee_angle__fft_coefficient__attr_"imag"__coeff_36,0.00036676581515833646
right_ankle_angle__fft_coefficient__attr_"real"__coeff_88,9.9240624510819e-05
right_ankle_angle__fft_coefficient__attr_"real"__coeff_90,0.0007219972344561142
right_knee_angle__fft_coefficient__attr_"imag"__coeff_3,0.005539626657747329
right_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"max",7.796077681032439e-05
right_knee_angle__fft_coefficient__attr_"real"__coeff_63,7.553067188333172e-05
right_knee_angle__fft_coefficient__attr_"imag"__coeff_38,0.0001665040692811241
right_ankle_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"var",1.8137224715743686e-05
right_knee_angle__count_below_mean,0.0002730287809609424
right_knee_angle__fft_coefficient__attr_"real"__coeff_50,0.0004208847853085788
right_knee_angle__fft_coefficient__attr_"imag"__coeff_59,0.000157903113408577
right_knee_angle__fft_coefficient__attr_"imag"__coeff_49,0.00016075311344345818
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_49,9.08718905590689e-05
right_knee_angle__fft_coefficient__attr_"real"__coeff_85,0.0009095272212952261
right_knee_angle__fft_coefficient__attr_"imag"__coeff_41,7.939355674984623e-05
left_knee_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.0,6.0647610631480375e-05
right_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var",0.0005047747514988676
left_hip_angle__agg_linear_trend__attr_"rvalue"__chunk_len_10__f_agg_"var",0.0035545094108155218
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6,0.0012569138830588963
left_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_1.0__ql_0.0,1.5492823967337333e-05
left_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"mean",0.0002904170904312759
left_knee_angle__mean_abs_change,0.00015644115996646323
right_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.2,0.0022554373743889837
left_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.0,0.00015988940836195889
right_ankle_angle__quantile__q_0.1,0.0026601180381322
left_hip_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.0,4.087130159361966e-06
right_ankle_angle__fft_coefficient__attr_"real"__coeff_47,0.00039678787473399016
right_knee_angle__fft_coefficient__attr_"real"__coeff_73,7.0806452964495e-05
left_knee_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"max",0.00026570843907778566
right_ankle_angle__fft_coefficient__attr_"real"__coeff_84,0.00019314990102341597
right_ankle_angle__minimum,0.0014532138021813269
right_knee_angle__fft_coefficient__attr_"real"__coeff_76,0.00036091172020406034
right_knee_angle__fft_coefficient__attr_"imag"__coeff_64,0.00047646764825879517
right_knee_angle__mean_change,7.002503685448823e-05
right_knee_angle__change_quantiles__f_agg_"mean"__isabs_False__qh_1.0__ql_0.0,8.193702523799922e-05
left_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.4,2.9917668557759238e-05
right_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.2,0.001304653721174697
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_27,0.002218881246751271
right_knee_angle__fft_coefficient__attr_"real"__coeff_74,0.0004970140942098926
left_ankle_angle__linear_trend__attr_"stderr",1.1741056914525962e-05
left_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.2,0.0005769939244475702
right_knee_angle__fft_coefficient__attr_"imag"__coeff_21,0.0022276117290325904
right_knee_angle__fft_coefficient__attr_"real"__coeff_67,0.00017608352259679662
left_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"min",0.00020927614317258207
right_knee_angle__fft_coefficient__attr_"real"__coeff_82,6.765117887025656e-05
right_knee_angle__fft_coefficient__attr_"imag"__coeff_26,0.003154857113581215
right_knee_angle__fft_coefficient__attr_"imag"__coeff_48,0.00013501867015869927
left_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"mean",7.235791633152292e-05
right_knee_angle__fft_coefficient__attr_"imag"__coeff_46,0.00011035377389074377
right_ankle_angle__abs_energy,0.0021968145310388796
right_hip_angle__mean_second_derivative_central,0.007318459757344406
right_knee_angle__fft_aggregated__aggtype_"variance",0.0004031408509997734
right_knee_angle__agg_linear_trend__attr_"rvalue"__chunk_len_5__f_agg_"var",0.0002790789419429401
right_knee_angle__fft_coefficient__attr_"real"__coeff_80,0.00015120634464108266
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"var",0.0
right_knee_angle__fft_coefficient__attr_"real"__coeff_88,0.0003307667989013561
right_knee_angle__fft_coefficient__attr_"imag"__coeff_61,0.0010443617291337201
left_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.4,0.00014672036555277038
right_knee_angle__fft_coefficient__attr_"real"__coeff_83,0.00014857132092175834
right_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"min",0.00026225676449562977
right_ankle_angle__cid_ce__normalize_False,0.006113607598577951
right_hip_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.4__ql_0.0,1.0360837398070461e-06
right_ankle_angle__fft_coefficient__attr_"real"__coeff_83,7.445430867131055e-05
right_ankle_angle__fft_coefficient__attr_"real"__coeff_46,0.0005656243046733382
right_knee_angle__agg_linear_trend__attr_"slope"__chunk_len_50__f_agg_"var",0.0007594710465096256
right_ankle_angle__fft_coefficient__attr_"real"__coeff_70,0.0007082626358215383
left_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.8__ql_0.0,6.514348756853444e-06
right_ankle_angle__agg_linear_trend__attr_"stderr"__chunk_len_50__f_agg_"max",0.01093544017009721
left_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_5__f_agg_"max",0.00032942827313979577
right_knee_angle__fft_coefficient__attr_"imag"__coeff_28,0.001070144163426617
left_knee_angle__change_quantiles__f_agg_"var"__isabs_True__qh_1.0__ql_0.0,4.47717836606318e-05
right_knee_angle__fft_coefficient__attr_"imag"__coeff_62,0.0018254506472706192
right_knee_angle__abs_energy,0.0025805111588052755
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_61,0.0006801491846047163
right_ankle_angle__agg_linear_trend__attr_"rvalue"__chunk_len_50__f_agg_"max",5.862050761817233e-05
right_knee_angle__fft_coefficient__attr_"real"__coeff_65,0.001045309213983508
right_knee_angle__time_reversal_asymmetry_statistic__lag_1,0.0
left_hip_angle__change_quantiles__f_agg_"var"__isabs_False__qh_0.6__ql_0.0,1.818039578147541e-07
right_knee_angle__fft_coefficient__attr_"imag"__coeff_24,0.00173131440114207
right_knee_angle__fft_coefficient__attr_"real"__coeff_89,0.0003689212818536217
right_ankle_angle__fft_coefficient__attr_"real"__coeff_39,0.0003982938051073714
right_ankle_angle__fft_coefficient__attr_"real"__coeff_42,0.0001995320860628756
left_ankle_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.2,0.008103153971409548
left_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.2__ql_0.0,0.0010094723475471742
right_ankle_angle__fft_coefficient__attr_"real"__coeff_72,0.00032187930832860707
right_ankle_angle__fft_coefficient__attr_"real"__coeff_86,0.0003558290709869844
right_knee_angle__fft_coefficient__attr_"imag"__coeff_43,0.00019984490787804406
right_knee_angle__agg_linear_trend__attr_"intercept"__chunk_len_5__f_agg_"var",0.00010193426347158335
left_hip_angle__change_quantiles__f_agg_"var"__isabs_True__qh_0.8__ql_0.0,0.0
right_ankle_angle__fft_coefficient__attr_"imag"__coeff_48,0.00020436205760182411
left_knee_angle__fft_coefficient__attr_"real"__coeff_60,0.0016718063639839583
right_knee_angle__fft_coefficient__attr_"real"__coeff_68,0.0002762877315451852
right_ankle_angle__fft_coefficient__attr_"angle"__coeff_27,0.0015085992133750032
left_hip_angle__agg_linear_trend__attr_"rvalue"__chunk_len_5__f_agg_"var",0.0024412692445313633
left_knee_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_1.0__ql_0.6,0.00021632547138193087
left_hip_angle__change_quantiles__f_agg_"mean"__isabs_True__qh_0.6__ql_0.0,0.0010518783876073752
right_ankle_angle__fft_coefficient__attr_"real"__coeff_37,0.00014755225512161073
right_knee_angle__fft_coefficient__attr_"imag"__coeff_70,0.00269652267280889
right_ankle_angle__mean_second_derivative_central,0.0012650894751258695
right_knee_angle__fft_coefficient__attr_"real"__coeff_79,8.041687949807999e-05
right_ankle_angle__fft_coefficient__attr_"real"__coeff_74,0.0001471964159365655
left_hip_angle__agg_linear_trend__attr_"stderr"__chunk_len_10__f_agg_"var",7.1073230271779255e-06
